listing_title,price,land_area,bedrooms,bathrooms,agent_name,date_created,internal_features,external_features,nearby,link
4 Bed Townhouse with En Suite in Thigiri,"
KSh 140,000,000
 ","
"," 4
"," 4
",LIflac Properties,07/07/2023,"
Backup Generator
,
En Suite
,
Fibre Internet
,
Walk In Closet
","
Balcony
,
CCTV
,
Garden
,
Parking
,
Staff Quarters
","
Bus Stop
,
Hospital
,
Scenic View
,
School
,
Shopping Centre
",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-thigiri-3607799
5 Bed House with En Suite in Lower Kabete,"
 KSh 160,000,000
","
"," 5
"," 5
",Trisums Investments Company Ltd,06/07/2023,"
En Suite
","
Balcony
,
Borehole
,
Garden
,
Gym
,
Parking
,
Staff Quarters
,
Swimming Pool
","
Bus Stop
,
Hospital
,
Scenic View
,
School
,
Shopping Centre
",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-lower-kabete-3560294
4 Bed House with En Suite in Runda,"
KSh 72,000,000
","
"," 4
"," 4
",LIflac Properties,07/07/2023,"
En Suite
,
Fibre Internet
,
Walk In Closet
","
Electric Fence
,
Garden
,
Parking
,
Staff Quarters
","
Bus Stop
,
Hospital
,
School
,
Shopping Centre
",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-runda-13-3557400
4 Bed House with En Suite in Nyali Area,"
KSh 62,000,000
",," 4
"," 5
",Arneel Homes,17/06/2023,"
Aircon
,
Backup Generator
,
Fibre Internet
,
Walk In Closet
,
En Suite
,
Alarm
","
Balcony
,
CCTV
,
Borehole
,
Staff Quarters
,
Swimming Pool
,
Parking
,
Garden
,
Electric Fence
 ,
BBQ
,
Wheelchair Access
","
Bus Stop
,
Hospital
,
School
,
Sea View
,
Scenic View
,
Golf Course
",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-nyali-area-1-3496113
5 Bed Villa with En Suite in Ngong,"
KSh 16,500,000
",," 5
"," 5
",Mirage Real Estate Ltd,05/07/2023,"
Backup Generator
,
En Suite
","
Swimming Pool
,
Staff Quarters
,
CCTV
,
Electric Fence
,
Borehole
,
Garden
,
Parking
,
Gym
,
Balcony
",,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-ngong-3567974
5 Bed Villa with En Suite at Runda,"
KSh 220,000,000
",," 5
"," 6
",Sky Limits Ventures,05/06/2023,"
En Suite
,
Walk In Closet
,
Backup Generator
","
Balcony
,
Garden
,
CCTV
,
Parking
,
Electric Fence
,
Staff Quarters
,
Swimming Pool
","
Scenic View
",https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-runda-3520624
4 Bed Villa with En Suite at Links Road,"
KSh 62,000,000
",," 4
"," 4
",BLISS HOMES,06/07/2023,"
Aircon
,
Alarm
,
Backup Generator
,
En Suite
,
Fibre Internet
,
Serviced
,
Walk In Closet
","
Balcony
,
BBQ
,
CCTV
,
Electric Fence
,
Borehole
,
Garden
,
Gym
,
Parking
,
Staff Quarters
,
Swimming Pool
,
Wheelchair Access
","
Bus Stop
,
Golf Course
,
Hospital
,
Scenic View
,
School
,
Shopping Centre
",https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-nyali-area-1-3598639
5 Bed House with En Suite in Syokimau,"
KSh 16,500,000
","
"," 5
"," 5
",Litana Investments,24/05/2023,"
Backup Generator
,
En Suite
,
Walk In Closet
","
Balcony
,
CCTV
,
Garden
,
Borehole
,
Parking
 ,
Staff Quarters
","
Bus Stop
,
Hospital
,
Scenic View
,
School
,
Shopping Centre
",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-syokimau-3553455
4 Bed House with En Suite at Sigona,"
KSh 24,000,000
","
"," 4
"," 4
",Pro-Property Solutions Ltd,18/05/2023,"
En Suite
,
Walk In Closet
","
Electric Fence
,
Staff Quarters
","
Bus Stop
,
Hospital
,
School
,
Shopping Centre
",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kikuyu-town-3587655
3 Bed House with En Suite in Ongata Rongai,"
KSh 6,000,000
","
"," 3
"," 3
",Litana Investments,24/05/2023,"
En Suite
,
Service Charge Included
,
Walk In Closet
","
Balcony
,
Borehole
,
Garden
,
Parking
","
Bus Stop
,
 Hospital
,
School
,
Shopping Centre
",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-ongata-rongai-3587714
5 Bed House with En Suite in Karen,"
KSh 200,000,000
","
"," 5
"," 5
",Trisums Investments Company Ltd,06/07/2023,"
En Suite
","
Electric Fence
,
Garden
,
Parking
,
Staff Quarters
","
Bus Stop
 ,
Hospital
,
Scenic View
,
School
,
Shopping Centre
",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-karen-3562680
4 Bed Townhouse with En Suite at Runda Mumwe,"
KSh 63,000,000
",," 4
"," 4
",Royani Properties Limited,20/03/2023,"
Alarm
,
Backup Generator
,
En Suite
,
Fibre Internet
,
Service Charge Included
","
Balcony
,
BBQ
,
CCTV
,
Electric Fence
,
Garden
,
Borehole
,
Staff Quarters
,
Parking
","
Bus Stop
,
Golf Course
,
Hospital
,
Scenic View
,
School
",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-runda-3575143
4 Bed House with En Suite at Off Paradise Lost Road,"
KSh 29,000,000
",," 4
"," 4
",Apogee Realty Homes,16/06/2023,"
En Suite
,
Walk In Closet
,
Fibre Internet
","
Garden
,
Wheelchair Access
,
Parking
,
CCTV
,
Electric Fence
,
Staff Quarters
,
Borehole
","
Hospital
,
Scenic View
,
School
",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kiambu-road-1-3501901
4 Bed Villa with En Suite in Kiambu Road,"
KSh 29,000,000
","
"," 4
"," 4
",Exceptional Homes,16/05/2023,"
Alarm
,
En Suite
,
Fibre Internet
,
Walk In Closet
","
Balcony
,
CCTV
,
Electric Fence
,
Garden
,
Parking
,
Staff Quarters
","
Bus Stop
,
Hospital
,
Scenic View
,
School
,
Shopping Centre
",https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-kiambu-road-3600029
6 Bed House with En Suite in Kiambu Road,"
KSh 60,000,000
",," 6
"," 5
",Pam Golding Properties,24/05/2023,"
En Suite
","
Garden
",,https://www.buyrentkenya.com/listings/6-bedroom-house-for-sale-kiambu-road-3600078
4 Bed House with En Suite in Ruiru,"
KSh 36,500,000
","
"," 4
"," 4
",Litana Investments,24/05/2023,"
Alarm
,
En Suite
,
Service Charge Included
,
Walk In Closet
","
Balcony
,
CCTV
,
Electric Fence
,
Garden
,
Parking
,
Staff Quarters
,
Wheelchair Access
","
Bus Stop
,
Golf Course
,
Hospital
,
School
,
Shopping Centre
",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-ruiru-3555057
4 Bed Villa with Alarm at Ole Dume Road,"
KSh 43,000,000
",," 4
"," 3
",TOK REALTY LIMITED,07/06/2023,"
Alarm
","
CCTV
,
Electric Fence
,
Staff Quarters
,
Parking
,
Wheelchair Access
","
Shopping Centre
,
Hospital
,
School
,
Bus Stop
",https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-kilimani-3605412
5 Bed Townhouse with En Suite in Lavington,"
KSh 67,500,000
",," 5
"," 6
",Canaan Properties,08/06/2023,"
Service Charge Included
,
En Suite
,
Walk In Closet
","
Balcony
,
Parking
,
Staff Quarters
,
Electric Fence
,
Garden
","
Bus Stop
,
Shopping Centre
,
Hospital
,
Scenic View
,
School
",https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3605654
4 Bed Townhouse with En Suite at Karen End,"
KSh 110,000,000
",," 4
"," 3
",Ebony Estates ltd,04/07/2023,"
Alarm
 ,
Backup Generator
,
En Suite
,
Fibre Internet
,
Service Charge Included
,
Walk In Closet
","
Balcony
,
BBQ
,
CCTV
,
Electric Fence
,
Borehole
,
Garden
,
Parking
,
Staff Quarters
",,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-karen-3522339
4 Bed Townhouse with En Suite in Syokimau,"
KSh 12,800,000
",," 4
",,First Avenue,16/02/2023,"
Alarm
,
En Suite
,
Backup Generator
,
Aircon
,
Fibre Internet
","
Balcony
,
Gym
,
Parking
,
CCTV
,
Staff Quarters
,
Electric Fence
,
Borehole
,
Garden
","
Bus Stop
,
Shopping Centre
,
Golf Course
,
Hospital
,
Scenic View
,
School
",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-syokimau-3581741
4 Bed House with En Suite in Syokimau,"
KSh 24,500,000
","
"," 4
"," 4
",Litana Investments,05/07/2023,"
En Suite
,
Fibre Internet
,
Walk In Closet
","
Balcony
,
Electric Fence
,
CCTV
,
Garden
,
Parking
,
Staff Quarters
","
Bus Stop
,
Hospital
,
School
,
Shopping Centre
",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-syokimau-3613232
4 Bed House with En Suite in Nyali Area,"
KSh 75,000,000
","
"," 4
"," 4
",Benford Homes,24/05/2023,"
Alarm
,
En Suite
","
Garden
,
Parking
 ,
Electric Fence
,
Borehole
","
Hospital
,
School
",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-nyali-area-3466466
4 Bed House with En Suite at Acacia,"
KSh 6,200,000
",," 4
"," 4
",Blu cherryDUPLICATE,29/06/2023,"
Alarm
,
En Suite
","
Parking
,
Staff Quarters
,
Borehole
,
Garden
","
Bus Stop
,
Shopping Centre
,
Hospital
,
School
",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kitengela-1-3597412
4 Bed Townhouse with En Suite at Katani Road,"
KSh 12,500,000
","
"," 4
"," 3
",Westside Real Estate,13/06/2023,"
Alarm
,
En Suite
,
Fibre Internet
,
Walk In Closet
","
BBQ
,
CCTV
,
Electric Fence
,
Borehole
,
Garden
,
Staff Quarters
,
Parking
,
Gym
","
Bus Stop
,
Hospital
,
Scenic View
,
School
,
Shopping Centre
",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-syokimau-1-3583114
5 Bed Townhouse with En Suite at Grevillea Groove,"
KSh 65,000,000
",," 5
"," 4
",Halifax Estate Agency,12/04/2023,"
Alarm
,
En Suite
,
Walk In Closet
","
Parking
,
BBQ
,
Balcony
,
Electric Fence
,
Wheelchair Access
,
Garden
,
Staff Quarters
","
Bus Stop
,
School
,
Scenic View
,
Shopping Centre
",https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-brookside-3589775
4 Bed Villa with En Suite at Diani,"
KSh 100,000,000
","
"," 4
"," 4
",Sky Miles Properties,13/06/2023,"
Aircon
,
Alarm
,
Backup Generator
,
En Suite
,
Fibre Internet
,
Furnished
,
Serviced
,
Service Charge Included
,
Walk In Closet
","
Balcony
,
BBQ
,
CCTV
,
Electric Fence
,
Borehole
,
Garden
,
Parking
,
Swimming Pool
","
Scenic View
,
School
,
Sea View
,
Shopping Centre
,
Golf Course
,
Hospital
,
Bus Stop
",https://www.buyrentkenya.com/listings/furnished-4-bedroom-villa-for-sale-diani-1-3597467
4 Bed House with En Suite in Ruiru,"
KSh 20,000,000
",," 4
"," 4
",Apogee Realty Homes,23/06/2023,"
Walk In Closet
,
En Suite
,
Fibre Internet
","
Balcony
,
Parking
,
Staff Quarters
,
Electric Fence
,
Borehole
,
Wheelchair Access
,
Garden
","
Bus Stop
,
Shopping Centre
,
Hospital
,
Scenic View
,
School
",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-ruiru-3609712
4 Bed Villa with En Suite in Karen,"
KSh 68,000,000
",," 4
"," 5
",Landmark Top Solutions,19/06/2023,"
En Suite
,
Fibre Internet
","
Staff Quarters
,
Parking
,
Garden
","
Hospital
,
Scenic View
,
School
,
Bus Stop
,
Shopping Centre
",https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-karen-3563712
3 Bed House with En Suite at Kimuka,"
KSh 15,000,000
","
"," 3
"," 3
",Symonns Realty,05/06/2023,"
En Suite
,
Walk In Closet
","
Balcony
,
Borehole
,
Garden
,
Staff Quarters
,
Parking
","
Bus Stop
,
Hospital
,
School
,
Shopping Centre
",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-ngong-3553796
4 Bed House with En Suite in Kiambu Road,"
KSh 61,950,000
","
"," 4
"," 5
",Litana Investments,04/07/2023,"
Alarm
,
Backup Generator
,
En Suite
,
Fibre Internet
,
Serviced
,
Walk In Closet
","
Balcony
,
Borehole
,
Garden
,
Gym
,
Parking
,
Staff Quarters
,
Swimming Pool
","
Bus Stop
,
Hospital
,
School
,
Shopping Centre
",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kiambu-road-3612830
4 Bed House with En Suite at Karen Hardy,"
KSh 87,000,000
","
"," 4
"," 4
",Mapema Properties,01/07/2023,"
En Suite
,
Serviced
,
Service Charge Included
,
Walk In Closet
","
Garden
,
Staff Quarters
","
Bus Stop
,
Hospital
,
School
,
Shopping Centre
",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-karen-hardy-1-3576494
5 Bed House with En Suite in Ruaka,"
KSh 30,500,000
","
"," 5
"," 6
",Litana Investments,24/05/2023,"
Alarm
,
Backup Generator
,
En Suite
,
Walk In Closet
","
Balcony
,
CCTV
,
Electric Fence
,
Borehole
,
Garden
,
Parking
,
Staff Quarters
","
Bus Stop
,
Hospital
,
Scenic View
,
School
,
Shopping Centre
",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-ruaka-3553404
4 Bed House with Garden at Guango Estate,"
KSh 13,500,000
",," 4
"," 3
",Mahalo Properties Limited,03/07/2023,"
Parking
,
Staff Quarters
,
Electric Fence
,
Garden
","
Bus Stop
,
Hospital
,
School
,
Shopping Centre
",,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kiambu-town-3568602
6 Bed Villa with En Suite at Kenyatta Road,"
KSh 28,000,000
",," 6
"," 8
",T&T Properties Kenya Limited,07/06/2023,"
Aircon
,
Alarm
,
Backup Generator
,
En Suite
,
Fibre Internet
,
Walk In Closet
,
Service Charge Included
","
Balcony
,
BBQ
,
CCTV
,
Electric Fence
,
Garden
,
Borehole
,
Parking
,
Staff Quarters
,
Wheelchair Access
","
Bus Stop
,
Golf Course
,
Hospital
,
Scenic View
,
Shopping Centre
",https://www.buyrentkenya.com/listings/6-bedroom-villa-for-sale-kenyatta-road-3592366
4 Bed House with En Suite in Watamu,"
KSh 52,000,000
","
"," 4
"," 4
",Afrique Properties Limited,03/07/2023,"
Aircon
,
Alarm
,
Backup Generator
,
En Suite
,
Fibre Internet
,
Furnished
","
Balcony
,
BBQ
,
CCTV
,
Borehole
,
Garden
,
Gym
,
Parking
,
Staff Quarters
,
Swimming Pool
","
Bus Stop
,
Golf Course
,
Hospital
,
Scenic View
,
School
,
Sea View
,
Shopping Centre
",https://www.buyrentkenya.com/listings/furnished-4-bedroom-house-for-sale-watamu-3602956
3 Bed House in Kitengela,"
KSh 6,000,000
",,"  3
"," 3
",Vector Afriq Properties Ltd,30/06/2023,"
Parking
","
Hospital
,
School
,
Bus Stop
,
Shopping Centre
",,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-kitengela-2-3561373
4 Bed Townhouse with En Suite in Kiambu Road,"
KSh 39,000,000
",," 4
"," 5
",Villawatch Limited,21/06/2023,"
En Suite
","
Gym
,
Parking
,
Staff Quarters
,
Borehole
,
Garden
,
Swimming Pool
","
Bus Stop
,
Scenic View
,
School
,
Shopping Centre
",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-kiambu-road-2-3583538
4 Bed Townhouse with En Suite at Bandari Villas,"
KSh 18,500,000
",," 4
"," 5
",Furaha Properties,19/04/2023,"
Aircon
,
Alarm
,
Backup Generator
,
Service Charge Included
,
En Suite
,
Walk In Closet
,
Fibre Internet
","
Electric Fence
,
Staff Quarters
,
Parking
,
CCTV
,
BBQ
,
Garden
,
Balcony
,
Borehole
","
Bus Stop
,
Sea View
,
Hospital
,
School
",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-nyali-area-3470376
3 Bed House with En Suite at Ngong Road,"
KSh 7,500,000
",," 3
"," 2
",Ngong Hills Agency,29/06/2023,"
En Suite
,
Serviced
","
Parking
,
Garden
","
Bus Stop
,
Shopping Centre
,
Scenic View
,
School
",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-ngong-3611478
4 Bed Townhouse with En Suite at Kencom Sacco,"
KSh 41,000,000
","
"," 4
"," 4
",LIflac Properties,07/07/2023,"
Alarm
,
Backup Generator
,
En Suite
,
Fibre Internet
,
Walk In Closet
","
Balcony
,
BBQ
,
CCTV
,
Electric Fence
,
Borehole
,
Garden
,
Gym
,
Parking
,
Staff Quarters
,
Swimming Pool
","
Bus Stop
,
Hospital
,
School
,
Shopping Centre
",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-runda-3612031
6 Bed Townhouse with En Suite in Lavington,"
KSh 55,000,000
",," 6
"," 6
",Ocean Oasis,19/06/2023,"
 Aircon
,
Alarm
,
En Suite
,
Fibre Internet
,
Walk In Closet
,
Service Charge Included
","
BBQ
,
Parking
,
CCTV
,
Staff Quarters
,
Electric Fence
,
Swimming Pool
","
Bus Stop
,
Shopping Centre
,
Hospital
,
Scenic View
,
School
",https://www.buyrentkenya.com/listings/6-bedroom-townhouse-for-sale-lavington-3602821
3 Bed House with En Suite at Nyali,"
KSh 27,000,000
","
"," 3
"," 3
",Benford Homes,10/06/2023,"
En Suite
,
Fibre Internet
","
CCTV
,
BBQ
,
Electric Fence
,
Borehole
,
Garden
,
Parking
,
Staff Quarters
,
Wheelchair Access
","
Hospital
,
School
,
Shopping Centre
",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-nyali-area-3599369
4 Bed Villa with En Suite at Eastern Bypass,"
KSh 12,600,000
",," 4
"," 5
",MK PROPERTIES,13/06/2023,"
Alarm
,
Backup Generator
,
En Suite
,
Fibre Internet
,
Serviced
","
Balcony
,
BBQ
,
CCTV
,
Electric Fence
,
Borehole
,
Garden
,
Gym
,
Parking
,
Swimming Pool
,
Wheelchair Access
","
Bus Stop
,
Hospital
,
Scenic View
,
School
,
Shopping Centre
",https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-eastern-bypass-1-3577418
3 Bed House with En Suite at Acacia,"
KSh 6,200,000
",," 3
"," 3
",Blu cherryDUPLICATE,27/06/2023,"
Alarm
,
En Suite
,
Fibre Internet
","
Parking
,
Borehole
,
Garden
","
Bus Stop
,
Shopping Centre
,
Hospital
,
School
",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-kitengela-1-3597425
10 Bed Villa with En Suite at Nyali,"
KSh 600,000,000
","
"," 10
"," 10
",Benford Homes,24/05/2023,"
Aircon
,
Furnished
,
Alarm
,
Serviced
,
Backup Generator
,
En Suite
,
Walk In Closet
","
Balcony
,
Parking
,
CCTV
,
Electric Fence
,
Garden
,
Wheelchair Access
","
Sea View
",https://www.buyrentkenya.com/listings/furnished-10-bedroom-villa-for-sale-mombasa-cbd-3463392
